Transaction_ID,User_ID,Customer_Name,Gender,Age,Occupation,City,Transaction_Date,Month,Year,Expense_Category,Merchant,Expense_Amount,Monthly_Income,Budget_Allocated,Estimated_Savings,Expense_to_Income_Percent,Payment_Method,Transaction_Status,Recurring_Expense,Credit_Score,User_Rating,Budget_Risk_Level
1,USR100001,Matthew Rana,Male,20.0,Teacher,Coimbatore,2025-01-18,January,2024.0,Rent,Landlord,4922.0,43235.0,36600.59,47297.0,17.05,Cash,Completed,Yes,869.0,3.8,Low
2,USR100002,Elijah Wason,Male,32.0,Software Engineer,Hyderabad,2024-02-11,May,2023.0,Utilities,Jio,1114.0,26514.0,19467.5,13849.0,4.2,Debit Card,Completed,Yes,756.0,3.5,Low
3,USR100003,Pratyush Soman,Male,39.0,Student,Pune,2026-04-06,April,2026.0,Shopping,Swiggy,6785.0,77964.0,51035.3,67491.0,8.7,Wallet,Completed,Yes,626.0,3.8,Low
4,USR100004,Baljiwan Chadha,Female,39.0,Designer,Pune,2024-05-14,May,2024.0,Utilities,Airtel,3062.0,149573.0,36600.59,141566.0,2.05,Net Banking,Completed,Yes,657.0,5.0,Low
5,USR100005,Omya Boase,Female,39.0,Sales Executive,Kochi,2023-03-22,March,2023.0,Utilities,Airtel,4922.0,26193.0,19120.39,15939.0,5.13,Wallet,Completed,Yes,626.0,4.5,Low
6,USR100006,Gautam Samra,Female,42.0,Sales Executive,Pune,2024-02-11,September,2024.0,Food,HDFC Ergo,5810.0,22766.0,14780.73,13962.0,25.52,Cash,Completed,Yes,806.0,3.4,Medium
7,USR100007,Jatin Kapoor,Male,28.0,Designer,Coimbatore,2025-03-25,March,2025.0,Shopping,Amazon,6393.0,77959.0,41803.92,65510.0,8.2,Net Banking,Completed,Yes,858.0,3.8,Low
10,USR100029,Oni Dhawan,Male,18.0,Doctor,Bengaluru,2023-11-29,November,2023.0,Utilities,TNEB,651.0,62196.0,36600.59,52326.0,7.44,Debit Card,Completed,Yes,403.0,4.0,Low
11,USR100011,Pratyush Soman,Female,47.0,Designer,Pune,2026-05-18,June,2026.0,Shopping,Amazon,5297.0,23703.0,12460.13,10715.0,22.35,Debit Card,Completed,No,468.0,2.7,Medium
12,USR100029,Raghav Pradhan,Female,27.0,Software Engineer,Delhi,2023-02-17,February,2023.0,Entertainment,PVR,6889.0,24806.0,16312.85,7458.0,7.44,Wallet,Pending,Yes,890.0,4.7,Medium
13,USR100013,Pratyush Soman,Male,39.0,Student,Mumbai,2026-01-14,June,2024.0,Shopping,Amazon,3013.0,99139.0,67571.3,47297.0,3.04,Wallet,Completed,No,549.0,3.8,Low
14,USR100014,Watika Wali,Female,23.0,Student,Bengaluru,2024-02-11,December,2024.0,Insurance,HDFC Ergo,3968.0,97237.0,51317.05,81355.0,4.08,Credit Card,Completed,Yes,707.0,3.7,Low
15,USR100015,Dipta Shroff,Female,29.0,Teacher,Pune,2023-06-23,June,2023.0,Shopping,Reliance,6984.0,43674.0,19678.3,29054.0,15.99,UPI,Completed,Yes,554.0,3.8,Low
16,USR100016,Janaki Mistry,Male,55.0,Designer,Hyderabad,2023-12-15,June,2024.0,Utilities,Jio,4922.0,60039.0,47662.64,47297.0,7.84,Wallet,Failed,Yes,378.0,4.6,Low
17,USR100017,Pratyush Soman,Male,45.0,Student,Mumbai,2023-01-30,January,2023.0,Insurance,LIC,4594.0,62384.0,38334.07,55440.0,7.36,UPI,Completed,Yes,455.0,3.1,Low
18,USR100018,Charita Vohra,Female,60.0,Teacher,Hyderabad,2023-09-26,September,2023.0,Transport,Metro,2770.0,46105.0,24334.65,34470.0,7.44,Net Banking,Completed,Yes,712.0,3.8,Low
20,USR100020,Elijah Dalal,Male,39.0,Teacher,Kochi,2024-02-11,May,2023.0,Food,Swiggy,4259.0,34268.0,20069.15,47297.0,12.43,Net Banking,Completed,No,867.0,4.9,Low
22,USR100029,Vrinda Sama,Female,32.0,Teacher,Coimbatore,2023-10-20,October,2023.0,Education,Udemy,7796.0,60039.0,66137.88,83685.0,7.84,Cash,Completed,Yes,490.0,3.8,Low
23,USR100023,Faras Murthy,Male,39.0,Designer,Kochi,2024-02-05,February,2024.0,Food,Zomato,4323.0,98832.0,56447.2,85607.0,4.37,Wallet,Completed,Yes,724.0,2.5,Low
24,USR100024,Inaya Taneja,Male,35.0,Doctor,Coimbatore,2023-08-03,August,2023.0,Healthcare,Swiggy,1024.0,46238.0,34471.58,39470.0,2.21,Wallet,Completed,Yes,626.0,4.5,Low
25,USR100025,Pratyush Soman,Female,22.0,Teacher,Chennai,2023-07-03,July,2023.0,Food,Swiggy,4774.0,45325.0,36600.59,33193.0,10.53,Wallet,Completed,No,626.0,2.7,Low
26,USR100026,Urvi Bhattacharyya,Female,57.0,Doctor,Chennai,2025-07-18,July,2024.0,Shopping,Amazon,645.0,42686.0,22595.21,38048.0,1.51,Net Banking,Completed,Yes,626.0,4.3,Low
27,USR100027,Dayita Sehgal,Male,35.0,Sales Executive,Chennai,2025-12-23,December,2025.0,Transport,Uber,1752.0,23322.0,17017.46,14573.0,7.51,Debit Card,Completed,Yes,862.0,2.6,Low
28,USR100028,Pratyush Soman,Female,31.0,Student,Pune,2023-08-06,August,2024.0,Shopping,Amazon,4312.0,26142.0,15487.26,12506.0,16.49,Credit Card,Completed,No,752.0,4.6,Low
29,USR100029,Triya Pant,Female,28.0,Software Engineer,Bengaluru,2023-01-30,January,2023.0,Healthcare,Pharmacy,2947.0,102970.0,76667.81,95897.0,7.44,Wallet,Completed,Yes,611.0,4.6,Low
30,USR100030,Pratyush Soman,Female,18.0,Analyst,Pune,2023-04-03,April,2023.0,Healthcare,Swiggy,5005.0,151144.0,78997.51,139338.0,3.31,Debit Card,Completed,No,625.0,3.8,Low
31,USR100031,Tejas Mani,Male,33.0,Software Engineer,Bengaluru,2024-11-17,November,2024.0,Transport,Ola,1884.0,79650.0,44363.07,75749.0,2.37,Debit Card,Completed,No,635.0,4.5,Low
32,USR100032,Yug Rao,Female,49.0,Teacher,Delhi,2023-06-23,June,2023.0,Shopping,Flipkart,284.0,35272.0,19043.13,29174.0,0.81,Wallet,Completed,Yes,626.0,4.0,Low
33,USR100033,Watika Buch,Male,55.0,Teacher,Pune,2024-02-11,October,2024.0,Education,Swiggy,6111.0,32358.0,36600.59,15965.0,18.89,Wallet,Completed,Yes,866.0,2.6,Low
34,USR100034,Saumya Ratti,Male,49.0,Teacher,Pune,2026-07-09,July,2026.0,Insurance,Swiggy,4922.0,99954.0,58514.66,90176.0,6.95,Cash,Completed,Yes,894.0,3.8,Low
36,USR100036,Ojasvi Parmer,Male,39.0,Software Engineer,Pune,2024-06-04,June,2024.0,Entertainment,Netflix,734.0,99353.0,62583.61,91184.0,0.74,Debit Card,Completed,Yes,486.0,4.9,Low
37,USR100037,Vihaan Dora,Female,37.0,Teacher,Kochi,2025-08-09,August,2025.0,Transport,Ola,2482.0,27670.0,18335.84,47297.0,8.97,UPI,Completed,Yes,626.0,3.2,Low
38,USR100038,Patrick Dora,Female,41.0,Doctor,Delhi,2023-06-02,June,2023.0,Insurance,HDFC Ergo,2300.0,26150.0,14802.33,18398.0,8.8,UPI,Completed,Yes,495.0,4.3,Low
40,USR100040,Qabil Lall,Female,42.0,Teacher,Pune,2023-01-25,January,2024.0,Entertainment,PVR,1083.0,24658.0,18048.78,47297.0,7.44,Cash,Completed,No,416.0,4.4,Low
42,USR100042,Pratyush Soman,Female,21.0,Doctor,Hyderabad,2025-07-12,July,2025.0,Travel,IRCTC,4922.0,100277.0,46613.04,87406.0,4.13,Cash,Completed,Yes,626.0,3.5,Low
